id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
59663,"4 Bedroom spacious Apt, 4 stops from Syntagma!",286911,Nely,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.99018,23.72185,Entire home/apt,100,2,358,2022-08-16,2.50,1,200,20,00001354528
32251149,Stylish Apartment with Balcony by Cloudkeys,220022946,CloudKeys,,ΙΛΙΣΙΑ,37.97847,23.75751,Entire home/apt,111,1,4,2022-05-20,0.19,37,358,1,00001631978
30204974,"Apartment in Kallithea Chalkidiki, 2 br., 68 q.s.",219203449,Kyriaki,,ΝΕΟΣ ΚΟΣΜΟΣ,37.95648,23.706,Entire home/apt,70,7,0,,,1,270,0,
30821402,In the heart of Athens living your story,230550752,Katerina,,ΙΛΙΣΙΑ,37.97814,23.75819,Entire home/apt,90,1,0,,,1,179,0,
19948205,Big apt.20' from the city center.Quiet-Safe area.,122646667,George,,ΓΟΥΔΙ,37.974361419677734,23.775041580200195,Entire home/apt,50,4,24,2022-08-27,0.41,1,355,7,01053462326
60394,Cosy 1 bedroom apt! Great central Athens location!,290864,Mika,,ΣΤΑΔΙΟ,37.96738,23.74038,Entire home/apt,30,6,14,2022-09-07,0.16,1,209,5,01039140005
646258081308550485,"Όμορφο διαμέρισμα ρετιρέ 5ου ορόφου, στου Zografou",40890776,Giorgos,,ΓΟΥΔΙ,37.9764374,23.7762044,Entire home/apt,43,2,1,2022-09-11,1,1,32,1,00001644451
83097,House In Centre,452494,Aris,,ΣΤΑΔΙΟ,37.96519,23.74549,Entire home/apt,45,4,21,2015-07-25,0.16,1,262,0,
41229703,"Eirini's Beauty 55sqm, 5' metro mall",21288829,Ioannis,,ΓΟΥΒΑ,37.94293,23.74003,Entire home/apt,39,1,56,2022-09-08,1.72,5,192,31,00001405188
661386018421316621,Lovely condo with huge patio and view over Athens,446755121,Despina,,ΓΟΥΔΙ,37.975155400700544,23.77638574650035,Entire home/apt,50,1,0,,,1,365,0,Exempt
27331084,Quiet - Comfortable apartment 33sqm Pagrati Athens,205943990,Konstantinos,,ΓΟΥΒΑ,37.961,23.74727,Entire home/apt,57,2,2,2019-10-25,0.05,1,169,0,00000241148
27503932,A bedistter for two or one persons in Athens,89694720,Katerina,,ΓΟΥΔΙ,37.97259,23.77877,Entire home/apt,30,3,0,,,1,50,0,00000187111
706465786292628723,ΚΑΛΑΙΣΘΗΤΟ ΔΙΑΜΕΡΙΣΜΑ ΔΙΠΛΑ ΣΤΟ ΜΕΤΡΟ,406517816,Μάριος,,ΓΟΥΒΑ,37.93689,23.7438,Entire home/apt,42,1,1,2022-09-18,1,1,334,1,00001735904
85400,Plaka area Close to Acropolis  Museum,172333,Athens,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97401,23.72832,Entire home/apt,55,2,84,2022-09-03,0.87,2,338,24,
661402213620803464,"Penthouse apartment, patio and view over Athens",2618525,Despina,,ΓΟΥΔΙ,37.976593884843524,23.778961786552106,Entire home/apt,40,168,0,,,1,365,0,Exempt
85539,The Heart Of Athens,468541,Xanthippi,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.99128,23.72965,Entire home/apt,75,4,0,,,1,365,0,
24010199,"Jane's home (1st fl)  wellcomes you, Zograf.Athens",180676564,Jane,,ΓΟΥΔΙ,37.97307,23.77536,Entire home/apt,47,3,26,2022-08-28,0.48,2,266,8,00000215184
131133,"Amazing view  2-4/p, Athens center",640163,Nikos,,ΝΕΑ ΚΥΨΕΛΗ,38.00172,23.74866,Entire home/apt,68,2,40,2022-09-09,0.32,6,362,9,00000173007
28332553,feels like home I (by metro station),213941843,Evangelia,,ΓΟΥΒΑ,37.94789,23.73964,Entire home/apt,83,1,11,2022-08-13,0.28,2,130,9,00000872719
620082614044689519,Metro/Dafni apartment,240481675,Gianttrip,,ΝΕΟΣ ΚΟΣΜΟΣ,37.95039,23.7375,Entire home/apt,66,1,0,,,25,365,0,00001676106
36224438,Byron Traditional Center Apartment,272450684,Παναγιώτης Και Ελένη,,ΠΑΓΚΡΑΤΙ,37.96004,23.75199,Entire home/apt,38,4,6,2020-01-04,0.16,1,231,0,00548714818
133835,Studio in upscale/central location,656936,Elena,,ΚΟΛΩΝΑΚΙ,37.97794,23.74371,Entire home/apt,42,3,13,2022-08-31,0.10,1,295,7,00001227000
